pricingDate,instrumentId,bondType,start,maturity,coupon,issuePrice,modelPrice,marketProxyPrice,priceDiff,diffBp,modelVsIssue
2025-08-18,1573018.XIBE,FixedRateBond,2015-08-19,2025-08-19,0.0404,100.0,101.99976439195316,101.99954083927786,0.0002235526753082695,0.021917027612783357,1.999764391953164
2025-08-18,1580204.XIBE,FixedRateBond,2015-08-19,2025-08-19,0.042300000000000004,100.0,104.22201333678078,104.221784913607,0.0002284231737803566,0.021917027612783357,4.222013336780776
2025-08-18,171635.XSHG,FixedRateBond,2020-08-19,2025-08-19,0.0308,100.0,103.07321639072096,103.07299048536309,0.0002259053578654857,0.021917027612783357,3.073216390720958
2025-08-18,190640.XSHE,FixedRateBond,2020-08-19,2025-08-19,0.0308,100.0,103.07321639072096,103.07299048536309,0.0002259053578654857,0.021917027612783357,3.073216390720958
2025-08-18,2005812.XIBE,FixedRateBond,2020-08-19,2025-08-19,0.0308,100.0,103.07321639072096,103.07299048536309,0.0002259053578654857,0.021917027612783357,3.073216390720958
2025-08-18,106752.XSHE,FixedRateBond,2018-08-20,2025-08-20,0.0394,100.0,103.92864477143765,103.92818922826328,0.00045554317436824476,0.04383249412320822,3.9286447714376465
2025-08-18,147412.XSHG,FixedRateBond,2018-08-20,2025-08-20,0.0394,100.0,103.92864477143765,103.92818922826328,0.00045554317436824476,0.04383249412320822,3.9286447714376465
2025-08-18,1542022.OTC,FixedRateBond,2015-08-20,2025-08-20,0.0405,100.0,102.00109033329132,102.00064323903177,0.0004470942595418137,0.04383249412320822,2.001090333291316
2025-08-18,1542022.XIBE,FixedRateBond,2015-08-20,2025-08-20,0.0405,100.0,102.00109033329132,102.00064323903177,0.0004470942595418137,0.04383249412320822,2.001090333291316
2025-08-18,1805174.XIBE,FixedRateBond,2018-08-20,2025-08-20,0.0394,100.0,103.92864477143765,103.92818922826328,0.00045554317436824476,0.04383249412320822,3.9286447714376465
2025-08-18,020730.XSHG,ZeroCouponBond,2025-05-22,2025-08-21,0.0001,100.0,99.99180909437074,99.9911516885482,0.0006574058225368162,0.06574639970002849,-0.008190905629263057
2025-08-18,106785.XSHE,FixedRateBond,2018-08-21,2025-08-21,0.0395,100.0,103.93496206565968,103.93427873519646,0.0006833304632181125,0.06574639970002849,3.9349620656596755
2025-08-18,106788.XSHE,FixedRateBond,2018-08-21,2025-08-21,0.0395,100.0,103.93496206565968,103.93427873519646,0.0006833304632181125,0.06574639970002849,3.9349620656596755
2025-08-18,106797.XSHE,FixedRateBond,2018-08-21,2025-08-21,0.0395,100.0,103.93496206565968,103.93427873519646,0.0006833304632181125,0.06574639970002849,3.9349620656596755
2025-08-18,106798.XSHE,FixedRateBond,2018-08-21,2025-08-21,0.0395,100.0,103.93496206565968,103.93427873519646,0.0006833304632181125,0.06574639970002849,3.9349620656596755
2025-08-18,106800.XSHE,FixedRateBond,2018-08-21,2025-08-21,0.040999999999999995,100.0,104.08479671840439,104.08411240283874,0.0006843155656497402,0.06574639970002849,4.084796718404391
2025-08-18,106804.XSHE,FixedRateBond,2018-08-21,2025-08-21,0.040999999999999995,100.0,104.08479671840439,104.08411240283874,0.0006843155656497402,0.06574639970002849,4.084796718404391
2025-08-18,109408.XSHE,FixedRateBond,2015-08-21,2025-08-21,0.0361,100.0,101.77928933620794,101.77862017842361,0.0006691577843298546,0.06574639970224894,1.7792893362079383
2025-08-18,109409.XSHE,FixedRateBond,2015-08-21,2025-08-21,0.0361,100.0,101.77928933620794,101.77862017842361,0.0006691577843298546,0.06574639970224894,1.7792893362079383
2025-08-18,109415.XSHE,FixedRateBond,2015-08-21,2025-08-21,0.0361,100.0,101.77928933620794,101.77862017842361,0.0006691577843298546,0.06574639970224894,1.7792893362079383
2025-08-18,110137.XSHE,ZeroCouponBond,2025-05-22,2025-08-21,0.0001,100.0,99.99180909437074,99.9911516885482,0.0006574058225368162,0.06574639970002849,-0.008190905629263057
2025-08-18,130407.XSHG,FixedRateBond,2015-08-21,2025-08-21,0.0361,100.0,101.77928933620794,101.77862017842361,0.0006691577843298546,0.06574639970224894,1.7792893362079383
2025-08-18,130409.XSHG,FixedRateBond,2015-08-21,2025-08-21,0.0361,100.0,101.77928933620794,101.77862017842361,0.0006691577843298546,0.06574639970224894,1.7792893362079383
2025-08-18,130414.XSHG,FixedRateBond,2015-08-21,2025-08-21,0.0361,100.0,101.77928933620794,101.77862017842361,0.0006691577843298546,0.06574639970224894,1.7792893362079383
2025-08-18,147415.XSHG,FixedRateBond,2018-08-21,2025-08-21,0.0395,100.0,103.93496206565968,103.93427873519646,0.0006833304632181125,0.06574639970002849,3.9349620656596755
2025-08-18,147418.XSHG,FixedRateBond,2018-08-21,2025-08-21,0.0395,100.0,103.93496206565968,103.93427873519646,0.0006833304632181125,0.06574639970002849,3.9349620656596755
2025-08-18,147665.XIBE,FixedRateBond,2018-08-21,2025-08-21,0.0395,100.0,103.93496206565968,103.93427873519646,0.0006833304632181125,0.06574639970002849,3.9349620656596755
