曲线名称,曲线类型,日期,标准期限(年),收益率(%),N(年),K(年),期限描述
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.7506,6,12,12Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.7309,6,11,11Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.6821,6,10,10Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.6208,6,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.552,6,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.4598,6,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.3806,6,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.3206,6,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.2766,6,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.3259,6,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.3182,6,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.2425,6,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.7723,7,13,13Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.7866,7,12,12Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.7969,7,11,11Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.7799,7,10,10Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.7311,7,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.6682,7,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.5963,7,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.496,7,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.4083,7,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.3401,7,4,4Y
